_id,category,correctAnswer,difficulty,possibleAnswers,question
6264a0a489c026892f5d6853,Music,Billy Joel,easy,"[""Billy Joel"",""Don Heneley"",""Cat Stevens"",""Dave Grohl""]",Which musician wrote 'Piano Man'?
6264a0c589c026892f5d6854,Music,The Eagles,easy,"[""The Eagles"",""The Beatles"",""Pink Floyd"",""Nirvana""]",Which band wrote 'Take It Easy'?
6264a12589c026892f5d6855,Music,Miley Cyrus,easy,"[""Selena Gomez"",""Miley Cyrus"",""Noah Cyrus"",""Lil Nas X""]",Who wrote 'Party In The USA'?
6264a1a089c026892f5d6856,Music,American Beauty,medium,"[""From the Mars Hotel"",""Workingman's Dead"",""American Beauty"",""The Wall""]","What is the name of the 5th studio album of The Grateful Dead, which was released in 1970?"
6264a1ff89c026892f5d6857,Music,Kelly Clarkson,medium,"[""Beyonce"",""Kelly Clarkson"",""Zendaya"",""Lady Gaga""]",Who was the first American Idol winner?
6264a26189c026892f5d6858,Music,Holiday,medium,"[""Holiday"",""Heart of Glass"",""Material Girl"",""Like a Prayer""]",What was Madonna's first top 10 hit?
6264a2c289c026892f5d6859,Music,Rob Zombie,medium,"[""Machine Gun Kelly"",""Rob Zombie"",""Tommy Lee"",""Billy Joel""]",What rock star moonlights as a horror movie writer/director?
6264a30a89c026892f5d685a,Music,Detroit,medium,"[""LA"",""New York City"",""Detroit"",""Chicago""]",8 mile is named after a road in which city?
6264a4fe89c026892f5d685b,Music,28,hard,"[""12"",""28"",""32"",""23""]",How many grammys does Beyonce have?
6264a57489c026892f5d685c,Music,88,hard,"[""64"",""77"",""99"",""88""]",How many keys are on a piano?
6264a5ed89c026892f5d685d,Music,Farrokh Bulsara,hard,"[""Pharah Barasara"",""Fred Flinstone"",""Farrokh Bulsara"",""Freddy Queen""]",What was Freddie Mercury's real name?
6264a69989c026892f5d685e,Music,Eagles,hard,"[""Rolling Stones"",""Eagles"",""Steely Dan"",""The Band""]","In 'The Big Lebowski', The Dude can't stand which band?"
6264a6d889c026892f5d685f,Music,Peter Gabriel,hard,"[""Peter Gabriel"",""Don Heneley"",""Cat Stevens"",""Dave Grohl""]",Who was the lead singer of Genesis before Phil Collins?
6264b51489c026892f5d6860,American History,Treaty of Versailles,easy,"[""Treaty of Versailles"",""Treaty of Paris"",""Berlin Treaty"",""Treaty of England""]",What is the name of the treaty that ended WWI?
6264b56089c026892f5d6861,American History,13,easy,"[""10"",""14"",""13"",""9""]",How many original British Colonies existed in America?
6264b5a089c026892f5d6862,American History,George Washington,easy,"[""Thomas Jefferson"",""John Hancock"",""Barack Obama"",""George Washington""]",Who was the first president of the United States?
6264b5ec89c026892f5d6863,American History,Delaware,easy,"[""Delaware"",""New York"",""Maryland"",""New Jersey""]",What was the first state in the USA?
6264b62689c026892f5d6864,American History,1862,easy,"[""1776"",""1880"",""1862"",""1812""]",When was the first US dollar made?
6264b64689c026892f5d6865,American History,1865,medium,"[""1776"",""1880"",""1865"",""1812""]",What year did the Civil War end?
6264b6ca89c026892f5d6866,American History,7-Dec-41,medium,"[""Jan 25, 1940"",""Dec 7, 1940"",""Dec 7, 1941"",""Jan 25, 1941""]",What is the date that Japan attacked Pearl Harbor?
6264b70089c026892f5d6867,American History,Navy,medium,"[""Navy"",""Army"",""Marines"",""Air Force""]",What branch of the military did JFK serve in?
6264b78189c026892f5d6868,American History,Neil Armstrong,medium,"[""Buzz Aldrin"",""Neil Armstrong"",""Neil Diamond"",""Buzz Lightyear""]",Who was the first American man on the moon?
6264b7d389c026892f5d6869,American History,Rosa Parks,medium,"[""MLK"",""Rosa Parks"",""JFK"",""Jackie Kennedy""]","Who refused to give up their bus seat, sparking the Civil Rights Protest?"
6264b83289c026892f5d686a,American History,WWI,hard,"[""American Revolution"",""Korean War"",""WWI"",""WWII""]",What war was known as 'The War to End All Wars'?
6264b87389c026892f5d686b,American History,Lee Harvey Oswald,hard,"[""The Mob"",""The CIA"",""Lee Harvey Oswald"",""Illuminati""]",Who assassinated JFK?
6264b8e389c026892f5d686c,American History,Churchill,hard,"[""Stalin"",""Churchill"",""Wilson"",""Hitler""]",Which leader played a prominent role in both World Wars?
6264b93f89c026892f5d686d,American History,12,hard,"[""9"",""11"",""12"",""18""]",How old was the youngest American serviceman on record in WWII?
6264b99689c026892f5d686e,American History,All of the Above,hard,"[""Plastic Surgery"",""Poison Gas"",""Blood Banks"",""All of the Above""]",Which of the following was developed during WWI?
